Participant_id,Trial,Experiment_id,Start_time,Valence,Arousal,Dominance,Liking,Familiarity
1,2,18,2714905,7.23,7.15,6.94,8.01,4.0
1,4,24,4493800,7.04,7.09,8.01,8.22,4.0
1,5,20,5362005,8.26,7.91,7.19,8.13,1.0
1,9,13,8960934,1.95,3.12,2.87,6.18,1.0
1,10,33,9816492,3.81,3.85,4.78,5.13,1.0
1,20,27,18394413,7.35,6.95,7.03,7.29,4.0
1,21,11,21438533,2.99,2.36,3.63,6.24,1.0
1,22,30,22211440,2.08,2.99,3.22,7.33,2.0
1,23,29,23070480,1.36,2.27,3.0,8.14,2.0
1,24,1,23886202,7.71,7.6,6.9,7.83,5.0
1,27,12,26324041,2.71,2.77,3.4,7.35,1.0
1,28,16,27096611,6.81,7.44,8.15,7.14,3.0
1,29,25,27849356,8.86,7.21,8.65,7.21,2.0
1,30,28,28631424,3.88,3.35,4.01,7.87,1.0
1,32,3,30256705,8.58,7.54,9.0,7.08,5.0
1,35,19,32609406,7.17,8.0,8.1,6.79,4.0
1,36,2,33358152,8.1,7.31,7.28,8.47,2.0
1,37,21,34106731,9.0,7.95,8.37,7.86,2.0
1,40,26,36420779,7.28,7.27,7.41,8.24,3.0
2,3,35,10907105,1.99,2.0,1.0,1.0,
2,9,24,15891248,7.08,9.0,6.06,9.0,
2,11,20,17534354,8.97,9.0,8.03,9.0,
2,12,12,18328085,8.01,6.06,7.12,9.0,
2,17,26,22268579,9.0,8.04,9.0,9.0,
2,18,18,23070306,9.0,6.15,9.0,8.08,
2,19,8,26149925,9.0,9.0,9.0,9.0,
2,20,2,26906168,8.01,7.1,8.04,8.08,
2,23,19,29525945,9.0,8.32,8.06,6.99,
2,24,14,30468625,8.94,9.0,8.97,9.0,
2,25,23,31228534,1.0,2.97,1.0,7.82,
2,27,25,32765179,9.0,9.0,8.1,9.0,
2,28,39,33568406,1.0,1.0,2.97,1.0,
2,29,40,34353639,6.05,6.67,6.94,6.53,
2,30,9,35133041,9.0,7.0,9.0,7.18,
2,31,21,35891446,1.0,1.0,5.04,1.0,
2,35,15,39004893,9.0,8.01,8.06,9.0,
2,37,3,40549701,9.0,9.0,8.96,8.05,
3,3,25,5184233,3.45,1.41,2.9,6.87,4.0
3,21,30,24625116,3.87,3.09,2.72,6.12,2.0
3,37,23,37355956,3.65,2.5,3.03,5.92,1.0
3,39,24,38912260,3.31,2.27,1.91,6.78,5.0
4,1,20,2644761,8.17,8.05,6.08,9.0,2.0
4,2,30,3488640,3.1,3.08,3.06,7.05,3.0
4,3,11,4328854,7.24,7.08,6.08,7.01,1.0
4,5,10,5903810,3.15,3.99,4.12,4.04,1.0
4,6,7,6675555,2.94,1.99,2.92,2.1,1.0
4,9,39,9127053,1.92,2.96,1.82,2.01,1.0
4,10,25,9948939,7.0,6.04,5.01,6.08,1.0
4,11,23,10702349,1.86,2.04,1.0,5.99,1.0
4,15,17,13749318,7.01,5.95,6.04,7.03,1.0
4,16,14,14503221,6.96,6.97,5.23,6.21,2.0
4,17,40,15250800,1.86,2.91,1.88,3.0,1.0
4,18,3,16030367,8.95,8.1,5.85,8.12,1.0
4,19,15,16786274,6.96,7.05,3.28,6.97,1.0
4,20,21,17542519,1.77,2.06,3.73,2.26,1.0
4,21,34,18369904,2.17,2.18,3.46,1.92,1.0
4,22,38,19116316,1.79,1.85,1.78,1.99,1.0
4,23,37,19866888,1.0,1.0,1.0,1.0,1.0
4,24,36,20641969,2.72,2.76,1.99,2.33,1.0
4,26,27,22198433,6.14,6.13,4.92,7.08,2.0
4,30,35,25301709,2.03,2.88,1.06,3.37,1.0
4,31,31,26068114,2.01,2.23,1.0,1.94,1.0
4,33,19,27598260,7.09,6.22,5.92,6.21,1.0
4,36,33,29866321,1.0,1.97,3.67,1.95,1.0
4,37,16,30639390,2.51,2.95,1.08,3.03,1.0
4,38,22,31405963,1.86,2.78,4.97,3.92,1.0
5,1,40,6890645,7.0,6.96,8.0,2.92,2.0
5,7,11,12016896,9.0,6.0,6.03,7.1,2.0
5,8,2,12841449,9.0,9.0,7.97,9.0,1.0
5,12,38,16128826,1.0,3.91,6.13,1.04,1.0
5,17,31,20315564,6.9,6.04,7.95,4.05,3.0
5,20,34,22708748,6.03,6.97,8.1,6.0,1.0
5,29,15,31986916,6.97,6.05,1.0,7.99,3.0
5,35,22,36755456,6.99,7.95,1.99,8.97,2.0
5,37,8,38387732,8.17,5.91,4.04,7.04,1.0
5,38,6,39169799,8.09,7.08,4.94,7.14,1.0
6,1,31,4863503,3.65,3.49,4.05,6.36,1.0
6,2,5,5941302,7.01,7.38,6.55,7.36,5.0
6,7,18,10445101,7.59,5.81,6.14,6.37,5.0
6,8,7,11258984,8.26,8.27,7.28,8.0,5.0
6,17,36,18938703,5.71,6.21,8.49,7.46,1.0
6,21,39,22761399,6.56,6.5,7.53,7.4,1.0
6,23,2,24331697,6.83,6.62,7.08,5.96,2.0
6,28,23,28469451,3.47,3.54,3.59,4.55,1.0
6,29,19,29268346,7.41,5.6,6.67,6.91,5.0
6,30,3,30120389,7.69,5.99,6.87,6.49,5.0
6,31,25,30941109,7.09,6.42,3.49,6.36,3.0
6,32,4,31727674,7.55,6.79,7.56,7.05,5.0
7,10,6,11880109,6.97,6.04,3.0,7.03,1.0
7,12,25,13523215,2.99,3.03,1.99,7.1,3.0
7,15,8,15972046,7.0,5.99,7.04,7.06,5.0
7,16,22,16773759,3.05,2.03,1.0,6.94,5.0
7,19,2,19170787,7.15,5.96,3.96,6.91,1.0
7,20,39,19988343,7.01,7.01,7.05,7.08,1.0
7,21,19,22129279,6.99,6.04,6.03,7.0,5.0
7,22,7,22925837,7.08,7.06,7.06,7.03,5.0
7,23,20,23710573,8.06,6.06,2.05,7.14,5.0
7,24,10,24542456,7.09,7.04,8.06,7.09,5.0
7,25,31,25332520,6.96,7.03,5.03,7.05,5.0
7,27,40,26877992,7.01,7.03,6.03,7.05,1.0
7,29,23,28459061,3.01,3.04,5.03,6.96,5.0
7,34,5,32565052,7.05,6.99,6.04,8.05,5.0
7,35,11,33357781,7.03,7.09,2.97,8.06,2.0
7,38,36,35822107,8.1,9.0,7.0,7.01,5.0
7,39,28,36608506,2.05,2.0,3.01,6.95,2.0
8,3,9,3981471,8.78,7.24,6.35,8.22,3.0
8,4,32,4785530,6.33,8.23,8.23,8.83,5.0
8,5,30,5600918,1.4,3.13,1.21,7.95,4.0
8,8,23,8013262,3.59,3.68,3.44,6.6,2.0
8,9,4,8839473,6.82,8.23,5.0,8.12,1.0
8,10,8,9619047,8.82,6.4,6.31,8.53,5.0
8,20,29,17519686,2.78,2.99,3.62,7.15,4.0
8,22,1,19820234,7.6,6.78,7.86,7.47,1.0
8,31,6,27123240,7.4,7.26,5.94,7.04,3.0
8,35,12,30334315,8.47,6.54,4.01,8.19,1.0
8,39,25,33462415,3.72,3.9,3.5,7.71,3.0
8,40,3,34230817,8.15,6.96,7.33,7.96,1.0
9,4,10,5566262,3.94,3.96,3.99,3.96,2.0
9,5,14,6406642,7.0,6.13,7.12,7.04,5.0
9,7,4,8076571,5.99,5.97,5.03,6.09,1.0
9,14,11,13772460,7.12,7.1,7.14,7.0,1.0
9,15,17,14564690,6.03,6.04,5.03,6.06,1.0
9,18,6,16924884,7.04,6.19,6.13,7.08,4.0
9,20,12,18524005,7.08,6.99,7.09,6.13,1.0
9,27,3,28090907,7.08,7.14,7.09,7.06,4.0
9,28,31,28866476,6.06,6.06,5.03,6.05,1.0
9,32,2,32042725,7.08,6.14,5.0,7.03,2.0
9,35,13,34378095,8.15,7.04,8.17,8.08,2.0
9,36,15,35157496,6.21,6.01,4.99,6.06,2.0
10,1,11,3567112,8.99,7.14,7.09,9.0,4.0
10,4,32,6035436,5.96,7.47,9.0,6.44,2.0
10,7,7,8465604,8.96,7.58,4.95,7.09,1.0
10,18,9,17351572,7.56,6.21,7.59,7.27,5.0
10,27,4,25995454,7.01,5.91,6.01,6.86,4.0
10,28,10,26775021,5.94,6.0,6.14,6.23,3.0
10,29,16,27548757,3.85,2.83,2.99,4.09,1.0
10,32,29,29875962,3.94,2.97,5.04,5.47,4.0
10,34,6,31477420,7.1,6.0,6.82,6.85,1.0
10,35,1,32247320,7.91,6.15,6.67,7.63,4.0
10,36,5,33018889,7.24,6.23,8.13,7.9,5.0
10,37,40,33781962,5.78,6.15,7.04,6.44,1.0
11,6,29,7634557,2.32,2.83,2.4,1.55,2.0
11,14,24,15204807,2.88,1.06,6.44,1.33,2.0
11,16,33,17057341,5.64,6.36,5.86,1.24,1.0
11,17,8,17965698,6.26,6.14,7.54,6.1,1.0
11,19,4,19761252,7.65,6.53,8.27,7.06,1.0
11,28,31,29887797,1.83,3.78,2.33,5.01,1.0
11,30,23,31807475,3.72,2.73,6.35,6.95,2.0
11,36,9,37436552,7.04,6.42,8.31,8.32,5.0
11,37,21,38318254,3.27,2.41,1.58,6.31,2.0
11,38,5,39238606,7.41,6.4,7.55,6.68,5.0
12,2,12,3435655,6.86,6.9,4.88,6.04,4.0
12,4,40,5147404,6.81,8.72,6.94,7.08,3.0
12,7,22,7656710,3.33,3.17,3.33,5.19,4.0
12,11,3,11029395,7.33,7.33,7.12,7.92,4.0
12,12,20,11821625,7.35,6.91,7.94,9.0,5.0
12,13,4,12642178,6.86,9.0,6.15,6.22,2.0
12,20,23,18279253,1.74,3.15,2.01,2.09,2.0
12,21,13,19857714,7.99,6.91,8.01,7.95,3.0
12,22,15,20631284,7.08,5.95,6.19,6.29,1.0
12,23,2,21396527,6.09,7.14,5.24,6.15,1.0
12,27,1,24649579,7.09,7.1,7.24,6.82,3.0
12,29,6,26211212,6.65,7.08,6.09,6.03,1.0
12,30,19,26988947,7.03,6.88,6.21,6.94,3.0
12,31,7,27748188,6.77,7.01,6.64,6.97,3.0
12,36,9,31749988,7.95,8.74,8.03,7.79,4.0
13,2,19,3999131,8.51,5.97,6.01,8.51,5.0
13,4,11,5766694,7.04,6.06,4.04,7.05,3.0
13,7,20,8357976,7.6,6.06,4.99,7.03,3.0
13,16,1,15852420,6.15,8.09,5.01,6.08,4.0
13,25,28,26908312,7.08,8.01,4.03,7.1,3.0
13,27,3,28534591,9.0,7.06,5.09,6.96,5.0
13,29,13,30139210,9.0,7.06,4.06,9.0,2.0
13,31,9,31747661,7.06,6.99,6.04,7.08,4.0
13,34,8,34170334,7.99,7.03,7.03,8.12,5.0
13,36,18,35767951,7.94,5.99,3.03,7.06,5.0
13,37,4,36577679,7.08,7.01,6.05,7.01,4.0
14,3,28,4208059,2.53,2.96,2.1,6.0,1.0
14,5,2,6089917,6.05,7.9,5.06,5.01,2.0
14,8,8,8735847,7.0,6.21,7.18,7.96,4.0
14,11,1,11497572,8.22,7.78,4.0,7.42,4.0
14,12,20,12373273,7.33,6.63,3.27,4.65,1.0
14,14,9,14240969,7.69,7.44,8.42,8.92,5.0
14,15,4,15107007,7.38,6.72,6.18,6.94,4.0
14,16,39,15980042,6.65,7.06,7.78,2.78,1.0
14,18,40,17790758,6.68,6.86,6.0,5.23,1.0
14,22,3,22799545,7.5,6.68,7.14,7.58,5.0
14,23,6,23678915,7.19,6.83,6.55,7.67,3.0
14,24,19,24603267,7.55,5.92,6.06,5.23,4.0
14,29,26,28973442,3.28,2.32,4.0,6.77,1.0
14,34,16,33511228,3.96,2.35,3.65,4.51,1.0
14,37,25,36282116,3.87,3.09,3.06,6.36,1.0
14,40,7,38964534,6.85,5.53,6.18,7.62,4.0
15,3,1,4028287,8.9,5.86,7.26,8.04,
15,33,21,30385458,3.09,3.14,3.13,4.1,
15,35,5,31972250,9.0,7.15,9.0,9.0,
16,3,5,3903655,5.51,7.9,9.0,8.14,5.0
16,8,23,8285836,3.9,3.83,2.77,3.54,1.0
16,10,4,9948935,7.09,5.67,2.53,5.65,4.0
16,11,39,10910441,6.13,5.97,8.49,6.0,1.0
16,14,40,13492560,3.74,3.77,4.05,6.19,1.0
16,15,35,14317445,1.0,3.71,4.22,1.82,1.0
16,17,3,16018532,6.74,5.83,6.37,6.83,5.0
16,21,25,20677443,2.47,3.45,2.4,2.13,1.0
16,24,8,23118444,3.51,2.88,7.14,1.5,3.0
16,25,29,23956491,3.23,2.79,3.09,2.62,1.0
16,26,18,24736392,6.56,5.72,5.22,7.37,3.0
16,33,33,30765599,1.0,3.92,4.96,1.0,1.0
16,35,13,32396780,3.88,2.14,1.42,2.54,2.0
16,36,28,33217634,2.85,3.38,3.44,6.69,1.0
16,38,19,34826115,2.86,2.94,3.9,2.4,3.0
17,2,10,3147425,6.09,7.05,5.54,6.06,3.0
17,3,39,4004463,7.1,7.03,5.95,4.01,1.0
17,8,2,7997765,7.26,7.03,5.28,7.31,4.0
17,10,6,9579394,6.9,5.95,5.37,7.14,2.0
17,11,23,10353296,3.62,2.95,5.04,2.92,1.0
17,12,9,11108372,6.04,6.13,5.1,6.24,5.0
17,14,26,12700662,3.73,2.77,5.81,3.73,1.0
17,15,19,13490559,7.27,6.03,5.04,6.1,4.0
17,19,27,16692466,3.96,3.29,5.04,2.62,2.0
17,25,7,22588788,7.08,6.6,5.87,8.13,5.0
17,27,4,24276712,6.35,5.56,5.74,4.04,2.0
17,32,3,28187215,6.46,5.78,5.04,6.04,3.0
17,35,14,30518585,6.58,5.85,5.59,7.32,3.0
17,36,5,31310813,7.05,8.15,6.12,7.35,3.0
17,37,11,32108041,6.03,5.67,5.86,6.1,1.0
17,39,22,33636353,3.19,3.82,5.72,5.69,2.0
18,2,10,2999639,6.09,7.29,7.31,7.73,5.0
18,4,3,4824849,6.36,6.72,6.08,6.32,5.0
18,6,9,6572253,6.55,6.03,5.94,6.56,5.0
18,7,11,7410800,6.24,6.6,6.03,5.47,1.0
18,11,5,10787815,6.13,7.72,7.54,7.59,5.0
18,14,7,13259638,7.33,6.94,6.88,6.28,4.0
18,17,4,15795273,6.65,7.97,6.73,6.78,4.0
18,18,19,16669474,7.04,6.83,6.05,7.29,4.0
18,21,2,20133292,6.87,6.09,6.36,5.67,3.0
18,22,1,20922186,6.33,6.74,5.74,6.26,4.0
18,23,17,21747575,7.74,5.77,7.03,8.51,5.0
18,25,6,23510473,6.51,6.04,5.33,6.05,4.0
18,39,20,35169829,6.24,5.71,5.77,5.99,2.0
19,2,20,5593087,6.13,6.01,4.95,3.29,2.0
19,3,16,6427136,3.24,1.95,2.6,5.5,1.0
19,6,3,9168034,6.82,7.04,6.03,7.31,5.0
19,8,11,10790481,5.83,5.63,5.91,6.19,1.0
19,12,6,14234972,7.73,6.9,5.97,7.71,5.0
19,13,23,15039531,3.77,3.74,2.12,4.51,2.0
19,14,21,15913066,2.19,3.28,3.08,6.13,1.0
19,18,5,19335898,7.79,8.62,7.96,9.0,5.0
19,19,4,20123792,5.77,5.53,4.05,5.74,5.0
19,21,30,23432834,2.85,2.26,3.76,6.58,4.0
19,24,9,26048275,7.09,5.67,5.03,6.87,5.0
19,27,1,28639224,7.44,6.45,5.91,6.95,5.0
19,30,25,31101717,2.19,3.81,3.29,7.54,5.0
19,31,18,32012906,7.77,6.35,5.03,7.53,4.0
19,32,13,32849287,7.53,6.49,5.05,7.56,4.0
19,34,2,34536212,6.46,6.81,5.83,6.29,3.0
19,35,12,35343270,6.26,5.67,3.53,6.21,1.0
19,37,19,37044689,7.65,7.05,6.19,7.96,5.0
19,38,7,37843749,6.64,6.59,5.0,6.83,5.0
19,40,8,39463863,7.44,6.67,6.53,6.94,5.0
20,2,18,4530450,7.35,6.36,3.69,7.22,5.0
20,3,9,5340507,8.22,7.31,5.04,8.1,5.0
20,13,4,13628845,7.05,5.92,5.46,6.91,5.0
20,16,5,16164146,8.82,8.06,7.86,8.32,5.0
20,23,19,22268397,7.59,5.62,6.06,7.63,5.0
20,25,32,23934328,6.28,5.71,4.23,5.55,2.0
20,35,6,32072884,7.62,5.74,3.18,7.79,3.0
20,37,8,33753810,7.63,5.92,7.85,7.68,5.0
20,38,14,34562534,6.4,5.6,4.67,5.81,4.0
20,39,11,35356596,8.18,6.41,7.1,7.37,1.0
21,2,19,6837995,7.26,6.29,7.72,6.78,5.0
21,4,36,8406460,6.88,7.21,8.26,6.49,2.0
21,6,32,10009579,6.27,7.01,8.79,6.99,5.0
21,7,39,10791813,6.09,6.77,7.29,3.18,1.0
21,13,33,15582677,7.03,7.04,9.0,6.56,2.0
21,14,2,16375907,7.05,6.04,4.06,6.03,3.0
21,15,15,17156140,6.92,5.99,6.0,6.1,3.0
21,17,14,18728604,8.1,7.1,6.87,6.94,5.0
21,20,7,21115456,7.05,6.58,7.17,6.54,5.0
21,21,16,24086608,5.99,7.1,7.09,7.01,2.0
21,22,8,24873506,8.81,7.1,7.13,7.94,2.0
21,23,6,25695059,7.92,7.05,6.14,6.86,5.0
21,25,10,27292514,7.05,6.88,8.09,6.49,4.0
21,31,5,32084546,8.09,7.15,8.55,7.01,5.0
21,33,9,33683666,8.56,7.0,8.6,8.03,5.0
21,34,18,34466233,7.99,8.23,8.05,7.51,5.0
21,39,11,38416878,7.05,6.56,9.0,5.97,4.0
22,3,11,4333849,8.05,6.06,6.08,7.05,1.0
22,7,31,7967775,2.01,1.96,2.97,2.92,1.0
22,17,14,16564842,8.05,6.01,6.04,8.0,5.0
22,19,4,18233106,7.06,5.96,6.13,5.95,1.0
22,23,19,23277718,9.0,6.14,6.04,7.99,5.0
22,24,27,24088274,7.06,5.99,6.04,7.05,5.0
22,27,3,26535773,7.05,6.03,4.99,6.0,3.0
22,28,9,27340498,9.0,8.05,9.0,9.0,5.0
22,31,5,29767151,7.1,7.08,7.04,7.04,2.0
22,32,18,30573395,8.08,6.08,7.05,8.06,3.0
22,33,40,31396614,2.97,1.96,5.04,1.03,1.0
22,38,2,35421074,7.08,7.05,6.06,7.12,2.0
23,2,22,3649524,2.97,1.0,5.06,2.03,
23,4,5,5368925,6.94,7.01,7.05,6.01,
23,8,20,8647375,3.96,1.0,4.94,1.91,
23,12,14,11816727,8.01,7.01,7.85,8.01,
23,17,21,15851584,1.91,1.0,7.38,1.0,
23,18,29,16690886,3.72,1.06,7.15,2.96,
23,19,17,17460807,2.86,1.0,3.51,1.06,
23,27,30,24931595,3.88,1.19,4.13,7.42,
23,29,32,26502735,7.97,7.04,8.28,8.06,
23,30,4,27287456,8.21,6.97,8.27,8.42,
23,33,1,29597988,7.71,6.56,7.71,7.74,
23,34,7,30372573,8.94,7.81,7.99,8.99,
23,35,2,31155532,9.0,9.0,9.0,9.0,
23,40,34,34953569,6.72,6.35,6.79,7.91,
24,7,18,9172970,8.96,7.0,7.09,8.0,5.0
24,9,6,11243454,5.96,5.99,5.01,4.04,2.0
24,12,2,14268406,6.04,6.09,6.97,6.01,1.0
24,15,5,17303872,7.06,5.96,7.03,7.03,4.0
24,16,3,18343590,8.96,7.12,8.96,6.05,5.0
24,22,4,26790656,6.05,7.05,6.05,6.97,3.0
24,24,1,28818363,7.06,6.09,8.03,7.04,3.0
24,39,13,45056948,8.0,6.06,6.03,7.04,3.0
24,40,14,46052439,8.05,6.04,7.08,6.01,5.0
25,1,24,2972486,3.05,2.0,7.04,7.99,1.0
25,5,9,6941303,8.09,7.99,8.08,8.03,3.0
25,11,20,12598213,7.08,7.09,8.06,7.04,1.0
25,13,22,14314239,8.03,7.06,8.0,8.06,1.0
25,17,8,17776219,8.04,8.06,8.06,9.0,4.0
25,19,7,19478815,6.08,8.05,8.03,7.01,2.0
25,22,1,24844886,8.06,8.08,7.12,8.1,1.0
25,25,14,27357966,8.09,7.04,6.0,9.0,4.0
25,26,12,28184858,8.04,8.08,6.0,9.0,1.0
25,29,19,30659853,7.06,6.08,6.08,7.1,1.0
25,35,3,35701196,7.12,7.09,6.99,6.94,2.0
25,36,13,36516022,7.97,6.04,7.04,8.12,1.0
25,38,11,38154800,9.0,9.0,6.08,8.1,1.0
26,1,40,2488482,3.06,1.0,4.97,2.05,1.0
26,2,11,3490747,8.04,6.88,5.99,8.96,1.0
26,3,10,4392772,3.08,2.91,2.92,6.06,1.0
26,5,9,6228135,8.05,7.17,6.04,9.0,4.0
26,6,32,7085868,1.96,1.96,4.12,6.97,2.0
26,7,36,8067349,2.92,1.92,2.72,6.01,1.0
26,11,7,11411216,6.08,7.1,7.0,7.08,5.0
26,14,31,13886601,1.97,1.94,3.09,6.97,1.0
26,15,23,14757410,2.28,2.88,3.96,6.13,2.0
26,16,37,15618282,1.0,1.0,2.79,1.0,1.0
26,21,8,22052247,8.01,8.17,7.12,9.0,4.0
26,22,33,22855807,1.0,1.0,3.99,1.0,1.0
26,24,35,24523745,2.97,1.0,3.09,3.96,1.0
26,25,6,25361472,8.09,7.04,7.04,9.0,1.0
26,28,39,27832518,1.95,1.97,3.97,1.04,1.0
26,32,14,31441888,9.0,8.05,7.13,9.0,4.0
26,34,3,33054739,9.0,8.08,7.1,8.96,4.0
26,35,20,33922776,8.08,6.97,7.05,9.0,5.0
26,36,38,34768488,1.15,1.06,2.18,1.0,1.0
26,37,19,35583822,8.0,7.06,6.03,7.96,5.0
26,38,2,36403598,6.96,7.13,6.05,8.13,1.0
26,39,1,37217487,7.97,7.9,6.21,8.86,1.0
26,40,4,38013820,8.03,8.05,6.09,9.0,2.0
27,7,14,7918895,8.06,7.03,9.0,9.0,4.0
27,9,17,9609824,9.0,7.08,9.0,9.0,1.0
27,11,8,11303906,8.24,8.17,8.01,9.0,1.0
27,12,4,12096808,7.05,7.01,9.0,7.08,3.0
27,13,16,12894932,8.06,6.06,8.95,8.03,1.0
27,16,13,15409013,7.01,7.14,9.0,8.03,1.0
27,18,23,17047622,8.0,6.04,9.0,8.03,1.0
27,21,36,21275178,6.13,7.21,9.0,8.1,1.0
27,22,3,22050147,9.0,8.04,9.0,9.0,1.0
27,23,21,22813886,9.0,8.14,9.0,8.12,1.0
27,24,35,23577726,1.0,1.0,5.03,5.04,1.0
27,26,2,25186839,7.0,7.03,9.0,8.1,1.0
27,27,9,25984565,8.99,9.0,9.0,9.0,5.0
27,29,34,27553196,2.85,1.0,9.0,1.12,1.0
27,31,39,29149727,2.14,1.01,9.0,1.97,1.0
27,37,30,33891050,7.08,7.04,8.96,8.0,2.0
27,38,18,34673843,9.0,8.99,9.0,9.0,5.0
27,40,24,36194658,8.9,7.97,8.97,7.99,3.0
28,2,34,2764551,5.99,7.06,7.03,6.0,1.0
28,3,2,3597195,7.99,8.1,8.06,9.0,1.0
28,4,7,4400765,8.09,9.0,7.08,9.0,4.0
28,5,21,5192388,2.01,1.95,3.0,4.95,1.0
28,8,33,7706955,7.01,7.92,9.0,7.06,1.0
28,11,30,10126142,1.99,2.0,2.88,9.0,5.0
28,13,3,11865276,9.0,7.04,7.0,9.0,5.0
28,15,1,13551534,7.03,7.09,8.01,8.01,1.0
28,19,6,16775717,8.15,8.1,8.06,9.0,5.0
28,23,4,20235357,8.08,7.09,6.96,8.08,1.0
28,24,26,21074241,1.99,1.0,1.91,2.0,1.0
28,27,23,24376444,2.03,3.04,1.99,2.01,1.0
28,29,10,25978062,7.99,7.13,8.08,8.08,1.0
28,30,27,26775788,6.08,6.01,6.01,6.94,2.0
28,31,20,27553255,8.04,6.99,5.01,7.99,1.0
28,32,13,28414898,2.09,1.01,2.05,1.9,1.0
28,33,31,29217685,6.91,7.04,7.99,7.06,1.0
28,34,39,29988757,1.04,3.06,2.05,2.06,1.0
28,35,40,30789484,7.1,7.04,7.14,7.97,1.0
28,36,5,31547488,7.04,8.03,8.19,9.0,5.0
28,37,29,32318627,2.06,1.97,2.92,3.0,4.0
28,38,19,33083309,7.03,7.08,7.06,9.0,5.0
28,39,28,33898368,2.9,1.85,3.09,2.0,1.0
28,40,36,34679087,3.08,2.96,1.92,1.88,1.0
29,1,6,2550904,8.03,6.08,7.04,8.06,5.0
29,2,25,3720665,3.03,3.97,4.06,4.0,1.0
29,4,5,5628336,6.05,8.05,8.06,8.0,5.0
29,7,3,8441777,9.0,7.08,8.01,8.08,3.0
29,9,39,10170019,6.05,8.08,9.0,4.95,1.0
29,10,19,11124637,7.05,6.06,5.05,5.99,5.0
29,11,11,11989004,8.03,7.01,7.01,7.01,1.0
29,14,2,14712561,7.05,7.05,7.01,8.1,4.0
29,15,21,15591166,2.92,2.03,8.03,1.0,1.0
29,16,22,16595931,3.05,2.99,3.04,5.04,1.0
29,21,10,22464755,7.01,9.0,9.0,7.95,5.0
29,22,7,23267485,7.04,7.1,8.06,7.12,5.0
29,23,23,24140517,2.05,1.0,2.88,1.92,1.0
29,25,28,25813958,1.04,2.1,2.03,5.01,1.0
29,27,9,27476278,7.06,6.06,7.03,7.08,5.0
29,29,27,29099155,7.09,6.06,8.99,7.94,4.0
29,30,29,29968091,3.97,1.0,4.03,3.04,3.0
29,31,16,30864784,3.0,1.0,2.05,1.91,1.0
29,32,4,31671281,7.17,8.09,8.06,6.99,1.0
29,33,26,32456518,3.0,1.0,2.0,1.0,3.0
29,34,20,33283626,8.03,7.09,9.0,6.97,5.0
29,37,38,35749450,1.88,1.79,1.0,1.0,1.0
29,40,40,38199946,6.01,7.09,8.05,6.05,1.0
30,8,20,8642305,7.26,7.06,7.03,8.12,5.0
30,9,23,9440543,3.0,2.99,3.06,1.03,3.0
30,10,21,10273320,3.05,2.9,3.05,1.0,1.0
30,13,11,12663608,6.06,7.14,5.23,6.08,2.0
30,14,17,13491990,7.13,6.06,5.0,5.03,2.0
30,15,2,14275879,7.15,6.12,4.95,7.94,3.0
30,17,5,15969798,6.19,6.94,5.04,6.08,5.0
30,18,4,16812187,7.04,6.96,6.06,7.09,5.0
30,20,19,18444801,8.27,7.03,5.01,7.19,5.0
30,21,6,20497930,6.22,5.95,6.19,6.01,5.0
30,22,8,21266990,6.05,6.01,6.19,5.94,5.0
30,23,3,22015056,6.15,5.92,5.92,7.01,5.0
30,25,33,23594685,3.91,3.05,4.09,1.0,1.0
30,37,9,33154649,7.08,6.14,4.99,7.0,5.0
30,38,27,33935484,8.01,6.27,6.0,7.12,4.0
30,40,31,35450030,3.86,3.95,5.12,3.97,1.0
31,1,19,2696702,7.95,6.06,6.04,7.01,5.0
31,10,1,10372815,6.79,5.97,8.08,8.09,3.0
32,3,14,4006583,7.1,6.03,9.0,6.83,3.0
32,9,8,9014043,7.96,6.06,8.05,7.15,3.0
32,21,11,19021628,8.24,6.22,8.99,6.88,3.0
32,27,5,23763160,7.15,5.94,9.0,4.81,2.0
32,28,27,24551731,6.0,7.24,7.97,5.81,5.0
32,30,19,26142197,8.24,7.24,9.0,8.04,5.0
32,37,18,31703107,8.03,7.06,8.96,8.18,5.0
32,38,3,32482079,8.05,7.09,8.86,7.08,5.0
